"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","3.59","GOTERM_CC_DIRECT","endoplasmic reticulum","87","1261","960","22190","6.32","1.80e-5","7.13e-3","1.59","8.18e-3","7.07e-3","1.05e-5","ENSDARG00000004745,ENSDARG00000004627,ENSDARG00000045175,ENSDARG00000043357,ENSDARG00000002968,ENSDARG00000041728,ENSDARG00000017141,ENSDARG00000002249,ENSDARG00000068934,ENSDARG00000013542,ENSDARG00000040684,ENSDARG00000041332,ENSDARG00000007496,ENSDARG00000069105,ENSDARG00000038728,ENSDARG00000034568,ENSDARG00000013704,ENSDARG00000103744,ENSDARG00000110709,ENSDARG00000088740,ENSDARG00000060094,ENSDARG00000014239,ENSDARG00000030824,ENSDARG00000103692,ENSDARG00000005023,ENSDARG00000040505,ENSDARG00000098451,ENSDARG00000008858,ENSDARG00000037062,ENSDARG00000007207,ENSDARG00000101317,ENSDARG00000037069,ENSDARG00000012144,ENSDARG00000058022,ENSDARG00000016545,ENSDARG00000012741,ENSDARG00000059035,ENSDARG00000101716,ENSDARG00000088933,ENSDARG00000012747,ENSDARG00000102204,ENSDARG00000063330,ENSDARG00000071426,ENSDARG00000038957,ENSDARG00000052567,ENSDARG00000029500,ENSDARG00000056005,ENSDARG00000091058,ENSDARG00000004402,ENSDARG00000079122,ENSDARG00000040984,ENSDARG00000019949,ENSDARG00000035273,ENSDARG00000026908,ENSDARG00000017126,ENSDARG00000042401,ENSDARG00000014013,ENSDARG00000057743,ENSDARG00000069242,ENSDARG00000014139,ENSDARG00000038826,ENSDARG00000033537,ENSDARG00000057708,ENSDARG00000024026,ENSDARG00000044010,ENSDARG00000108683,ENSDARG00000074129,ENSDARG00000078964,ENSDARG00000007347,ENSDARG00000004115,ENSDARG00000099960,ENSDARG00000071491,ENSDARG00000027813,ENSDARG00000044935,ENSDARG00000035781,ENSDARG00000101139,ENSDARG00000011233,ENSDARG00000068888,ENSDARG00000016048,ENSDARG00000104647,ENSDARG00000035860,ENSDARG00000075209,ENSDARG00000058603,ENSDARG00000027495,ENSDARG00000037008,ENSDARG00000036915,ENSDARG00000100564"
"1","3.59","GOTERM_CC_DIRECT","endoplasmic reticulum membrane","73","1261","816","22190","5.30","1.38e-4","2.09e-2","1.57","6.09e-2","2.08e-2","8.17e-5","ENSDARG00000004745,ENSDARG00000029689,ENSDARG00000004627,ENSDARG00000045175,ENSDARG00000024314,ENSDARG00000002249,ENSDARG00000014113,ENSDARG00000068934,ENSDARG00000091304,ENSDARG00000007496,ENSDARG00000038728,ENSDARG00000034568,ENSDARG00000013704,ENSDARG00000103744,ENSDARG00000088740,ENSDARG00000060094,ENSDARG00000014239,ENSDARG00000030824,ENSDARG00000007886,ENSDARG00000040505,ENSDARG00000008858,ENSDARG00000039162,ENSDARG00000037062,ENSDARG00000060978,ENSDARG00000101317,ENSDARG00000037069,ENSDARG00000088699,ENSDARG00000012981,ENSDARG00000012144,ENSDARG00000058022,ENSDARG00000059035,ENSDARG00000089109,ENSDARG00000063730,ENSDARG00000102204,ENSDARG00000071426,ENSDARG00000041040,ENSDARG00000038957,ENSDARG00000052567,ENSDARG00000029621,ENSDARG00000056005,ENSDARG00000054420,ENSDARG00000091058,ENSDARG00000004402,ENSDARG00000079122,ENSDARG00000033251,ENSDARG00000035273,ENSDARG00000026908,ENSDARG00000017126,ENSDARG00000042401,ENSDARG00000014013,ENSDARG00000017047,ENSDARG00000012632,ENSDARG00000038826,ENSDARG00000003269,ENSDARG00000108683,ENSDARG00000078964,ENSDARG00000007347,ENSDARG00000094752,ENSDARG00000099960,ENSDARG00000071491,ENSDARG00000027813,ENSDARG00000045946,ENSDARG00000044935,ENSDARG00000035781,ENSDARG00000068888,ENSDARG00000016048,ENSDARG00000104647,ENSDARG00000059933,ENSDARG00000075209,ENSDARG00000058603,ENSDARG00000027495,ENSDARG00000037008,ENSDARG00000036915"
"1","3.59","UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","66","977","800","16344","4.79","6.73e-3","1.41e-1","1.38","2.47e-1","1.28e-1","4.67e-3","ENSDARG00000004745,ENSDARG00000004627,ENSDARG00000045175,ENSDARG00000002968,ENSDARG00000002249,ENSDARG00000068934,ENSDARG00000040684,ENSDARG00000091304,ENSDARG00000007496,ENSDARG00000069105,ENSDARG00000038728,ENSDARG00000034568,ENSDARG00000013704,ENSDARG00000103744,ENSDARG00000088740,ENSDARG00000060094,ENSDARG00000014239,ENSDARG00000030824,ENSDARG00000103692,ENSDARG00000005023,ENSDARG00000040505,ENSDARG00000037069,ENSDARG00000012981,ENSDARG00000012144,ENSDARG00000058022,ENSDARG00000016545,ENSDARG00000012741,ENSDARG00000101716,ENSDARG00000089109,ENSDARG00000063730,ENSDARG00000071426,ENSDARG00000041040,ENSDARG00000038957,ENSDARG00000052567,ENSDARG00000029500,ENSDARG00000056005,ENSDARG00000091058,ENSDARG00000004402,ENSDARG00000079122,ENSDARG00000033251,ENSDARG00000040984,ENSDARG00000019949,ENSDARG00000035273,ENSDARG00000026908,ENSDARG00000017126,ENSDARG00000069242,ENSDARG00000033537,ENSDARG00000044182,ENSDARG00000044010,ENSDARG00000108683,ENSDARG00000074129,ENSDARG00000078964,ENSDARG00000099960,ENSDARG00000071491,ENSDARG00000027813,ENSDARG00000044935,ENSDARG00000035781,ENSDARG00000068888,ENSDARG00000016048,ENSDARG00000104647,ENSDARG00000035860,ENSDARG00000059933,ENSDARG00000075209,ENSDARG00000027495,ENSDARG00000037008,ENSDARG00000100564"
"2","2.37","INTERPRO","BTB-kelch_protein","11","1340","51","23408","0.80","5.39e-4","1.00e+0","3.77","8.06e-1","1.00e+0","1.19e-4","ENSDARG00000102418,ENSDARG00000087226,ENSDARG00000001882,ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000068888,ENSDARG00000101270,ENSDARG00000067751,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000053803"
"2","2.37","GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","25","1221","199","20756","1.82","6.62e-4","3.29e-1","2.14","7.04e-1","3.29e-1","2.81e-4","ENSDARG00000023002,ENSDARG00000053876,ENSDARG00000056647,ENSDARG00000070674,ENSDARG00000020475,ENSDARG00000099199,ENSDARG00000023303,ENSDARG00000069527,ENSDARG00000090993,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000001882,ENSDARG00000025875,ENSDARG00000021550,ENSDARG00000101270,ENSDARG00000071492,ENSDARG00000056050,ENSDARG00000087226,ENSDARG00000037589,ENSDARG00000068888,ENSDARG00000067751,ENSDARG00000030871,ENSDARG00000087640"
"2","2.37","GOTERM_CC_DIRECT","Cul3-RING ubiquitin ligase complex","12","1261","68","22190","0.87","1.47e-3","1.12e-1","3.11","4.88e-1","1.11e-1","4.07e-4","ENSDARG00000025875,ENSDARG00000001882,ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000101270,ENSDARG00000102418,ENSDARG00000056050,ENSDARG00000087226,ENSDARG00000068888,ENSDARG00000067751,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463"
"2","2.37","SMART","Kelch","12","772","70","13267","0.87","2.22e-3","4.33e-1","2.95","5.65e-1","4.33e-1","6.50e-4","ENSDARG00000001882,ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000101270,ENSDARG00000039066,ENSDARG00000102418,ENSDARG00000087226,ENSDARG00000068888,ENSDARG00000067751,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000053803"
"2","2.37","INTERPRO","Kelch_1","12","1340","73","23408","0.87","2.79e-3","1.00e+0","2.87","1.00e+0","1.00e+0","8.44e-4","ENSDARG00000001882,ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000101270,ENSDARG00000039066,ENSDARG00000102418,ENSDARG00000087226,ENSDARG00000068888,ENSDARG00000067751,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000053803"
"2","2.37","SMART","BTB","24","772","213","13267","1.74","3.06e-3","4.33e-1","1.94","6.83e-1","4.33e-1","1.45e-3","ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000019265,ENSDARG00000077101,ENSDARG00000102418,ENSDARG00000067507,ENSDARG00000103949,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000053803,ENSDARG00000025875,ENSDARG00000001882,ENSDARG00000046014,ENSDARG00000101270,ENSDARG00000013492,ENSDARG00000039066,ENSDARG00000076584,ENSDARG00000056050,ENSDARG00000087226,ENSDARG00000062942,ENSDARG00000068888,ENSDARG00000036235,ENSDARG00000067751,ENSDARG00000070658"
"2","2.37","INTERPRO","BACK","12","1340","74","23408","0.87","3.11e-3","1.00e+0","2.83","1.00e+0","1.00e+0","9.56e-4","ENSDARG00000001882,ENSDARG00000056647,ENSDARG00000053876,ENSDARG00000101270,ENSDARG00000039066,ENSDARG00000102418,ENSDARG00000087226,ENSDARG00000068888,ENSDARG00000067751,ENSDARG00000103786,ENSDARG00000100631,ENSDARG00000086463,ENSDARG00000053803"
