"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","3.73","INTERPRO","Arylesterase","4","118","4","23408","3.28","4.85e-7","1.10e-4","198.37","2.19e-4","1.10e-4","6.14e-10","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","INTERPRO","Serum_paraoxonase/arylesterase","4","118","4","23408","3.28","4.85e-7","1.10e-4","198.37","2.19e-4","1.10e-4","6.14e-10","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","UP_SEQ_FEATURE","DISULFID:In form B","4","112","4","21277","3.28","5.51e-7","9.64e-5","189.97","9.64e-5","9.64e-5","7.28e-10","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","GOTERM_MF_DIRECT","arylesterase activity","4","104","5","21154","3.28","1.11e-6","1.80e-4","162.72","1.80e-4","1.80e-4","2.75e-9","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","INTERPRO","6-blade_b-propeller_TolB-like","4","118","47","23408","3.28","1.68e-3","2.53e-1","16.88","5.33e-1","2.53e-1","9.26e-5","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","GOTERM_MF_DIRECT","carboxylic ester hydrolase activity","3","104","45","21154","2.46","2.03e-2","6.51e-1","13.56","9.64e-1","6.51e-1","1.41e-3","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000016856"
"1","3.73","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","4","112","424","21277","3.28","3.81e-1","1.00e+0","1.79","1.00e+0","1.00e+0","1.85e-1","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","3.73","GOTERM_CC_DIRECT","cellular_component","6","109","1325","22190","4.92","7.80e-1","1.00e+0","0.92","1.00e+0","1.00e+0","6.39e-1","ENSDARG00000032496,ENSDARG00000091771,ENSDARG00000036658,ENSDARG00000038297,ENSDARG00000040290,ENSDARG00000016856"
"2","2.23","KEGG_PATHWAY","Cell adhesion molecule (CAM) interaction","5","41","181","21890","4.10","3.27e-4","1.70e-2","14.75","1.69e-2","1.54e-2","2.15e-5","ENSDARG00000042357,ENSDARG00000006396,ENSDARG00000003927,ENSDARG00000004597,ENSDARG00000058937"
"2","2.23","KEGG_PATHWAY","Virion - Hepatitis viruses","3","41","74","21890","2.46","8.09e-3","1.36e-1","21.64","3.45e-1","1.22e-1","3.60e-4","ENSDARG00000042357,ENSDARG00000003927,ENSDARG00000058937"
"2","2.23","KEGG_PATHWAY","Tight junction","4","41","248","21890","3.28","1.04e-2","1.36e-1","8.61","4.20e-1","1.22e-1","1.17e-3","ENSDARG00000061398,ENSDARG00000042357,ENSDARG00000003927,ENSDARG00000058937"
"2","2.23","KEGG_PATHWAY","Cornified envelope formation","3","41","186","21890","2.46","4.54e-2","2.93e-1","8.61","9.11e-1","2.65e-1","5.08e-3","ENSDARG00000042357,ENSDARG00000003927,ENSDARG00000058937"
"3","1.29","GOTERM_MF_DIRECT","hydrolase activity","21","104","1642","21154","17.21","1.12e-4","9.11e-3","2.60","1.80e-2","9.11e-3","4.20e-5","ENSDARG00000103184,ENSDARG00000099996,ENSDARG00000052348,ENSDARG00000051853,ENSDARG00000003486,ENSDARG00000019595,ENSDARG00000018891,ENSDARG00000022599,ENSDARG00000038296,ENSDARG00000113961,ENSDARG00000061044,ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000039730,ENSDARG00000059556,ENSDARG00000032496,ENSDARG00000076308,ENSDARG00000029011,ENSDARG00000016706,ENSDARG00000058815,ENSDARG00000016856"
"3","1.29","UP_KW_MOLECULAR_FUNCTION","Protease","8","57","533","11803","6.56","1.25e-2","2.45e-1","3.11","3.89e-1","2.45e-1","3.85e-3","ENSDARG00000103184,ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000019595,ENSDARG00000039730,ENSDARG00000022599,ENSDARG00000029011,ENSDARG00000058815"
"3","1.29","GOTERM_BP_DIRECT","proteolysis","9","98","670","20756","7.38","1.32e-2","1.00e+0","2.85","9.69e-1","1.00e+0","4.42e-3","ENSDARG00000103184,ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000019595,ENSDARG00000039730,ENSDARG00000043497,ENSDARG00000022599,ENSDARG00000029011,ENSDARG00000058815"
"3","1.29","GOTERM_MF_DIRECT","peptidase activity","8","104","537","21154","6.56","1.60e-2","6.48e-1","3.03","9.27e-1","6.48e-1","5.02e-3","ENSDARG00000103184,ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000019595,ENSDARG00000039730,ENSDARG00000022599,ENSDARG00000029011,ENSDARG00000058815"
"3","1.29","GOTERM_MF_DIRECT","serine-type endopeptidase activity","4","104","214","21154","3.28","8.68e-2","1.00e+0","3.80","1.00e+0","1.00e+0","2.14e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730,ENSDARG00000093065"
"3","1.29","SMART","Tryp_SPc","3","60","131","13267","2.46","1.15e-1","1.00e+0","5.06","1.00e+0","1.00e+0","2.14e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","INTERPRO","Peptidase_S1A","3","118","122","23408","2.46","1.24e-1","1.00e+0","4.88","1.00e+0","1.00e+0","2.39e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","UP_SEQ_FEATURE","DOMAIN:Peptidase S1","3","112","121","21277","2.46","1.32e-1","1.00e+0","4.71","1.00e+0","1.00e+0","2.61e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","INTERPRO","Trypsin_dom","3","118","135","23408","2.46","1.46e-1","1.00e+0","4.41","1.00e+0","1.00e+0","3.10e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","INTERPRO","Peptidase_S1_PA_chymotrypsin","3","118","137","23408","2.46","1.50e-1","1.00e+0","4.34","1.00e+0","1.00e+0","3.22e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","UP_KW_PTM","Zymogen","3","36","166","8073","2.46","1.61e-1","1.00e+0","4.05","8.79e-1","1.00e+0","3.71e-2","ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","INTERPRO","Peptidase_S1_PA","3","118","164","23408","2.46","1.98e-1","1.00e+0","3.63","1.00e+0","1.00e+0","5.03e-2","ENSDARG00000103184,ENSDARG00000034862,ENSDARG00000039730"
"3","1.29","GOTERM_CC_DIRECT","extracellular region","9","109","1493","22190","7.38","4.42e-1","1.00e+0","1.23","1.00e+0","1.00e+0","3.12e-1","ENSDARG00000045580,ENSDARG00000103184,ENSDARG00000017676,ENSDARG00000034862,ENSDARG00000039730,ENSDARG00000006544,ENSDARG00000067781,ENSDARG00000058815,ENSDARG00000056938"
"4","0.94","UP_SEQ_FEATURE","DOMAIN:EF-hand 1","3","112","41","21277","2.46","1.94e-2","1.00e+0","13.90","9.67e-1","1.00e+0","1.31e-3","ENSDARG00000099996,ENSDARG00000014098,ENSDARG00000034705"
