"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","2.92","INTERPRO","Serum_paraoxonase/arylesterase","4","719","4","23408","0.54","1.12e-4","1.03e-1","32.56","1.87e-1","1.03e-1","8.83e-7","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","2.92","INTERPRO","Arylesterase","4","719","4","23408","0.54","1.12e-4","1.03e-1","32.56","1.87e-1","1.03e-1","8.83e-7","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","2.92","UP_SEQ_FEATURE","DISULFID:In form B","4","656","4","21277","0.54","1.14e-4","7.22e-2","32.43","6.97e-2","7.22e-2","8.96e-7","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","2.92","GOTERM_MF_DIRECT","arylesterase activity","4","637","5","21154","0.54","2.59e-4","8.83e-2","26.57","1.42e-1","8.82e-2","3.98e-6","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"1","2.92","GOTERM_MF_DIRECT","carboxylic ester hydrolase activity","5","637","45","21154","0.67","4.57e-2","1.00e+0","3.69","1.00e+0","1.00e+0","1.10e-2","ENSDARG00000063621,ENSDARG00000088411,ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000016856"
"1","2.92","INTERPRO","6-blade_b-propeller_TolB-like","4","719","47","23408","0.54","1.74e-1","1.00e+0","2.77","1.00e+0","1.00e+0","5.57e-2","ENSDARG00000097789,ENSDARG00000032496,ENSDARG00000040290,ENSDARG00000016856"
"2","2.07","GOTERM_CC_DIRECT","postsynaptic membrane","15","683","207","22190","2.01","4.97e-3","2.86e-1","2.35","7.99e-1","2.84e-1","1.95e-3","ENSDARG00000071298,ENSDARG00000102295,ENSDARG00000071374,ENSDARG00000074661,ENSDARG00000079348,ENSDARG00000078149,ENSDARG00000070543,ENSDARG00000053542,ENSDARG00000115778,ENSDARG00000058452,ENSDARG00000008487,ENSDARG00000039500,ENSDARG00000030376,ENSDARG00000075802,ENSDARG00000102254"
"2","2.07","GOTERM_CC_DIRECT","synapse","31","683","591","22190","4.16","5.32e-3","2.86e-1","1.70","8.21e-1","2.84e-1","2.93e-3","ENSDARG00000075189,ENSDARG00000045750,ENSDARG00000079348,ENSDARG00000027322,ENSDARG00000062305,ENSDARG00000017108,ENSDARG00000062972,ENSDARG00000058452,ENSDARG00000008487,ENSDARG00000036344,ENSDARG00000104413,ENSDARG00000100592,ENSDARG00000102254,ENSDARG00000073959,ENSDARG00000075830,ENSDARG00000074860,ENSDARG00000071298,ENSDARG00000074661,ENSDARG00000074524,ENSDARG00000070441,ENSDARG00000078149,ENSDARG00000110528,ENSDARG00000070543,ENSDARG00000053460,ENSDARG00000061304,ENSDARG00000115778,ENSDARG00000069937,ENSDARG00000039500,ENSDARG00000030376,ENSDARG00000070932,ENSDARG00000075802"
"2","2.07","UP_KW_CELLULAR_COMPONENT","Synapse","23","509","448","16344","3.09","2.40e-2","2.52e-1","1.65","6.40e-1","2.52e-1","1.32e-2","ENSDARG00000071298,ENSDARG00000102295,ENSDARG00000071374,ENSDARG00000074661,ENSDARG00000070441,ENSDARG00000078149,ENSDARG00000070543,ENSDARG00000110528,ENSDARG00000053542,ENSDARG00000053460,ENSDARG00000004597,ENSDARG00000061304,ENSDARG00000115778,ENSDARG00000062305,ENSDARG00000069937,ENSDARG00000058452,ENSDARG00000008487,ENSDARG00000039500,ENSDARG00000069402,ENSDARG00000104413,ENSDARG00000030376,ENSDARG00000070932,ENSDARG00000102254"
"3","2.06","GOTERM_BP_DIRECT","sulfation","5","644","21","20756","0.67","3.59e-3","1.00e+0","7.67","9.88e-1","1.00e+0","3.81e-4","ENSDARG00000042920,ENSDARG00000071495,ENSDARG00000040781,ENSDARG00000094089,ENSDARG00000093619"
"3","2.06","UP_KW_BIOLOGICAL_PROCESS","Catecholamine metabolism","5","257","22","8466","0.67","3.89e-3","1.75e-1","7.49","2.96e-1","1.75e-1","4.27e-4","ENSDARG00000042920,ENSDARG00000071495,ENSDARG00000040781,ENSDARG00000094089,ENSDARG00000093619"
