gene	esoxID	cas	chr	start	end
100135781	ENSELUG00000014640	cas3	12	91036663	91040921
100135783	ENSELUG00000012545	cas1	7	57336598	57405253
100135793	ENSELUG00000000174	cas2	26	38058526	38085611
100135796	ENSELUG00000023421	cas3	18	19206164	19211574
100135809	ENSELUG00000013716	cas2	20	27864868	27866512
100135814	ENSELUG00000017495	cas2	2	20227621	20232215
100135835	ENSELUG00000020064	cas1	15	20088776	20093865
100135839	ENSELUG00000013060	cas1	8	13552248	13558751
100135844	ENSELUG00000015976	cas1	27	28743292	28748005
100135854	ENSELUG00000000644	cas2	13	35900832	35909243
100135866	ENSELUG00000003857	cas1	6	39906570	39911822
100135867	ENSELUG00000021263	cas1	17	57176451	57225686
100135868	ENSELUG00000021263	cas1	7	64751017	64779946
100135885	ENSELUG00000007630	cas1	20	16789813	16795054
100135887	ENSELUG00000018733	cas2	13	37293710	37395301
100135902	ENSELUG00000016648	cas3	10	70323416	70329032
100135905	ENSELUG00000000378	cas1	21	57970308	57986158
100135909	ENSELUG00000008925	cas1	7	52882500	52903136
100135923	ENSELUG00000000777	cas4	10	120264	127707
100135942	ENSELUG00000005959	cas1	5	73207860	73218158
100135945	ENSELUG00000006900	cas2	18	17920085	17938169
100135948	ENSELUG00000002533	cas3	7	9763202	9769681
100135951	ENSELUG00000016479	cas1	1	46142006	46159522
100135952	ENSELUG00000016479	cas1	2	87946473	87966277
100135954	ENSELUG00000013653	cas2	2	34327950	34335871
100135955	ENSELUG00000008520	cas2	11	35595222	35601608
100135968	ENSELUG00000018235	cas1	10	45125552	45149685
100135971	ENSELUG00000019249	cas1	5	35930114	35960310
100135975	ENSELUG00000002681	cas1	5	77983744	77987655
100135987	ENSELUG00000002753	cas1	5	17598908	17688319
100135988	ENSELUG00000002668	cas1	11	71524863	71599164
100136001	ENSELUG00000023604	cas1	5	59710615	59714101
100136008	ENSELUG00000004445	cas1	16	14166081	14167981
100136010	ENSELUG00000012493	cas2	17	31860343	31871765
100136015	ENSELUG00000002236	cas1	5	40622958	40638854
100136026	ENSELUG00000000670	cas1	4	24396792	24418967
100136036	ENSELUG00000016177	cas1	24	25681457	25704456
100136062	ENSELUG00000015578	cas2	27	4472051	4505952
100136065	ENSELUG00000002236	cas1	12	18025589	18062043
100136070	ENSELUG00000020745	cas1	8	20477412	20483898
100136071	ENSELUG00000017977	cas2	3	11837883	11858967
100136078	ENSELUG00000000210	cas2	3	2889071	2916355
100136084	ENSELUG00000008813	cas2	12	78584185	78594547
100136087	ENSELUG00000012878	cas1	Y	19882762	19905873
100136088	ENSELUG00000002473	cas2	6	83647271	83704964
100136089	ENSELUG00000003609	cas1	17	51601433	51640412
100136112	ENSELUG00000001256	cas1	5	71831641	71833770
100136119	ENSELUG00000000607	cas2	13	58918836	58956176
100136127	ENSELUG00000018291	cas1	30	17188910	17198506
100136128	ENSELUG00000000650	cas1	5	33640488	33799714
100136134	ENSELUG00000007074	cas5	16	23551793	23567658
100136150	ENSELUG00000016497	cas4	28	18406183	18420007
100136151	ENSELUG00000012218	cas1	31	18658229	18669895
100136156	ENSELUG00000016368	cas1	14	6294201	6298860
100136164	ENSELUG00000014172	cas5	2	18198290	18224300
100136166	ENSELUG00000019363	cas1	5	62493156	62560551
100136168	ENSELUG00000020482	cas2	13	49448242	49456279
100136169	ENSELUG00000023043	cas2	13	40714193	40733821
100136171	ENSELUG00000009448	cas2	12	76464742	76470326
100136172	ENSELUG00000019906	cas1	Y	27495254	27499399
100136173	ENSELUG00000017383	cas1	11	56654582	56670449
100136190	ENSELUG00000020657	cas2	12	82294803	82297556
100136202	ENSELUG00000022861	cas1	1	19068992	19076771
100136205	ENSELUG00000008614	cas2	2	30062714	30068659
100136209	ENSELUG00000023896	cas2	14	34184541	34248617
100136210	ENSELUG00000014053	cas2	19	11644557	11742079
100136211	ENSELUG00000005959	cas1	30	27225499	27235345
100136215	ENSELUG00000002144	cas1	12	18458747	18471430
100136219	ENSELUG00000018144	cas1	16	50121066	50209197
100136220	ENSELUG00000012482	cas2	12	64951031	65117379
100136224	ENSELUG00000000623	cas1	20	44091400	44134903
100136226	ENSELUG00000021088	cas1	31	37597003	37647655
100136228	ENSELUG00000010059	cas1	32	25066997	25083433
100136230	ENSELUG00000011548	cas5	24	33410349	33416640
100136232	ENSELUG00000003182	cas1	16	45791659	45818216
100136237	ENSELUG00000004554	cas1	14	8666718	8683954
100136239	ENSELUG00000013210	cas5	1	89223150	89270371
100136242	ENSELUG00000022782	cas1	2	77171774	77176796
100136245	ENSELUG00000008590	cas2	27	39963824	39975210
100136246	ENSELUG00000002541	cas1	5	17126356	17147778
100136252	ENSELUG00000016149	cas1	31	24986094	25003225
100136256	ENSELUG00000001033	cas2	13	13619774	13621578
100136260	ENSELUG00000022411	cas2	7	17514236	17518488
100136278	ENSELUG00000010398	cas3	2	15402707	15431912
100136282	ENSELUG00000005817	cas1	7	48787061	48803078
100136288	ENSELUG00000003292	cas1	25	16154316	16193639
100136290	ENSELUG00000008821	cas5	6	73190979	73392249
100136301	ENSELUG00000022207	cas7	2	24041681	24054664
100136302	ENSELUG00000013167	cas2	3	25137756	25147306
100136306	ENSELUG00000008761	cas2	3	21649441	21713248
100136320	ENSELUG00000006561	cas3	7	14921809	14927040
100136321	ENSELUG00000015551	cas3	3	26447862	26462094
100136324	ENSELUG00000004244	cas1	Y	11076465	11112463
100136338	ENSELUG00000013072	cas1	25	9966445	9968636
100136345	ENSELUG00000008527	cas1	16	18396477	18409234
100136347	ENSELUG00000004513	cas1	6	44436292	44501179
100136594	ENSELUG00000023750	cas3	26	16609650	16614319
100136612	ENSELUG00000009243	cas5	7	17058930	17065132
100136617	ENSELUG00000016064	cas1	31	24955847	24981475
100136619	ENSELUG00000023224	cas2	6	85697423	85718907
100136621	ENSELUG00000006142	cas1	17	73072356	73082608
100136624	ENSELUG00000016878	cas1	28	18225312	18228390
100136630	ENSELUG00000007527	cas1	18	33508836	33512426
100136645	ENSELUG00000007557	cas1	15	27753877	27756858
100136652	ENSELUG00000002218	cas1	17	54473949	54479645
100136654	ENSELUG00000017068	cas1	7	60553435	60563412
100136655	ENSELUG00000017383	cas1	6	27960062	28023418
100136666	ENSELUG00000016000	cas1	17	62506856	62528639
100136668	ENSELUG00000011996	cas2	6	68683171	68695735
100136673	ENSELUG00000005666	cas1	8	57339585	57361813
100136684	ENSELUG00000011976	cas1	2	90701413	90706025
100136685	ENSELUG00000005054	cas1	12	13959929	13982026
100136686	ENSELUG00000001276	cas1	19	45384358	45400312
100136691	ENSELUG00000013642	cas2	6	67898266	67900809
100136692	ENSELUG00000005428	cas1	1	77339654	77345543
100136710	ENSELUG00000004529	cas2	26	39815915	39906792
100136715	ENSELUG00000014738	cas2	2	34644435	34646777
100136716	ENSELUG00000001430	cas1	15	28637747	28698956
100136740	ENSELUG00000007970	cas1	32	21260259	21274297
100136741	ENSELUG00000003410	cas3	15	58114128	58136637
100136748	ENSELUG00000021976	cas2	7	18108790	18111651
100136749	ENSELUG00000007582	cas1	10	35818219	35823669
100136754	ENSELUG00000018977	cas1	23	14028382	14172114
100136759	ENSELUG00000013390	cas2	2	17667882	17681708
100136765	ENSELUG00000007198	cas2	Y	38783085	38789254
100136773	ENSELUG00000018844	cas2	6	93059670	93061795
100136774	ENSELUG00000020241	cas1	Y	31931801	31936995
100136779	ENSELUG00000022210	cas3	21	13739058	13748205
100136794	ENSELUG00000015683	cas1	25	2286916	2329947
100136795	ENSELUG00000006483	cas1	16	42276720	42311179
100136949	ENSELUG00000016580	cas1	14	6324987	6343247
100136953	ENSELUG00000014053	cas2	10	67392704	67490835
100136955	ENSELUG00000021990	cas5	12	82788554	82799758
100137064	ENSELUG00000006276	cas4	8	27244559	27284491
100170203	ENSELUG00000017495	cas2	3	11658813	11661113
100189621	ENSELUG00000000849	cas1	5	36066786	36076554
100190917	ENSELUG00000001725	cas4	5	48881393	48954869
100301653	ENSELUG00000001835	cas4	21	18567868	18596759
100301691	ENSELUG00000020135	cas1	27	23503309	23513406
100301695	ENSELUG00000003162	cas1	25	16114918	16119474
100301697	ENSELUG00000004454	cas1	7	32261170	32266645
100301707	ENSELUG00000010637	cas5	18	6807279	6815407
100301712	ENSELUG00000010206	cas2	6	70615476	70621510
100301713	ENSELUG00000021241	cas5	1	61544678	61548916
100301719	ENSELUG00000007345	cas2	14	27429308	27432335
100301728	ENSELUG00000005707	cas1	16	36988089	37003982
100301733	ENSELUG00000004064	cas5	7	13090353	13092834
100301755	ENSELUG00000013654	cas2	13	63421906	63426370
100301769	ENSELUG00000005887	cas5	10	34380235	34387056
100301773	ENSELUG00000001730	cas1	2	51412121	51417154
100301776	ENSELUG00000020074	cas2	19	62095441	62210453
100301778	ENSELUG00000009782	cas3	12	76794179	76804653
100301793	ENSELUG00000020573	cas1	17	83264536	83267901
100301802	ENSELUG00000015868	cas2	3	35169845	35175264
100301807	ENSELUG00000001851	cas1	9	34052296	34057570
100301814	ENSELUG00000019346	cas1	5	36033261	36034806
100301815	ENSELUG00000005266	cas1	25	28094505	28099259
100301818	ENSELUG00000009275	cas2	21	7925016	7943584
100301821	ENSELUG00000019481	cas1	11	10666207	10671992
100301824	ENSELUG00000021515	cas1	8	55064730	55072215
100301831	ENSELUG00000012837	cas1	5	58115798	58120039
100301838	ENSELUG00000020315	cas1	14	20315629	20316614
100301840	ENSELUG00000003765	cas2	13	14471579	14477492
100301852	ENSELUG00000014552	cas2	25	24371703	24375216
100301859	ENSELUG00000014294	cas1	28	19193808	19197044
100301863	ENSELUG00000011938	cas2	26	28767744	28772715
100301866	ENSELUG00000022088	cas3	2	43025400	43042479
100301874	ENSELUG00000002655	cas1	31	30643575	30646991
100302644	ENSELUG00000021157	cas2	21	12200400	12325740
100305136	ENSELUG00000000897	cas1	15	20752507	20760847
100305150	ENSELUG00000007816	cas1	7	51093272	51097448
100305158	ENSELUG00000010987	cas1	15	13228122	13232921
100305166	ENSELUG00000009057	cas1	16	18622633	18626440
100305167	ENSELUG00000022400	cas1	1	19340408	19342021
100305169	ENSELUG00000021372	cas2	26	48911638	48925033
100305177	ENSELUG00000020362	cas1	3	48891513	48898487
100305198	ENSELUG00000001892	cas2	18	12281631	12288102
100305215	ENSELUG00000019588	cas1	1	21362992	21368888
100305217	ENSELUG00000020659	cas3	13	39250334	39253623
100305220	ENSELUG00000007953	cas1	19	38347218	38351255
100305229	ENSELUG00000017094	cas3	2	19987402	19997221
100305248	ENSELUG00000020132	cas2	12	71646624	71648371
100305263	ENSELUG00000010420	cas2	13	44494318	44496714
100305278	ENSELUG00000013964	cas1	25	8253840	8259803
100305281	ENSELUG00000012588	cas1	32	28116426	28121263
100305282	ENSELUG00000021887	cas6	24	38983607	38990269
100305284	ENSELUG00000017246	cas1	1	67223308	67227387
100305297	ENSELUG00000014357	cas1	7	58708278	58713630
100305308	ENSELUG00000010828	cas1	20	5844691	5854645
100305309	ENSELUG00000011943	cas2	13	68856782	68861444
100305310	ENSELUG00000019364	cas1	8	53191105	53249559
100305314	ENSELUG00000020596	cas1	17	83246730	83264337
100305319	ENSELUG00000015649	cas2	13	34907936	34910785
100305334	ENSELUG00000008568	cas1	16	18412240	18416746
100305338	ENSELUG00000018084	cas2	12	80222503	80228591
100305345	ENSELUG00000015377	cas1	5	65587136	65590748
100313950	ENSELUG00000021077	cas5	16	7456934	7511154
100329195	ENSELUG00000005685	cas1	7	43487093	43491299
100335038	ENSELUG00000005986	cas1	12	30403738	30417713
100381269	ENSELUG00000019569	cas1	1	62735771	62739992
100462680	ENSELUG00000021412	cas1	7	40292040	40296179
100462687	ENSELUG00000019294	cas1	1	63031594	63075340
100499174	ENSELUG00000019609	cas1	28	15486073	15502959
100499175	ENSELUG00000019609	cas1	8	69578994	69591039
100499580	ENSELUG00000024443	cas1	5	39617526	39622863
100499581	ENSELUG00000012907	cas1	18	45369569	45372973
100499582	ENSELUG00000005878	cas3	Y	36160626	36182761
100499585	ENSELUG00000007858	cas1	18	64748508	64757588
100499587	ENSELUG00000017013	cas1	4	12595321	12601268
100499589	ENSELUG00000013964	cas1	19	55003914	55006739
100499596	ENSELUG00000013845	cas1	28	19391364	19394722
100499597	ENSELUG00000009598	cas1	27	12189333	12193259
100499599	ENSELUG00000020476	cas1	31	38350721	38421549
100499601	ENSELUG00000002280	cas1	5	40727462	40755792
100499608	ENSELUG00000016918	cas2	9	72595792	72650044
100499612	ENSELUG00000019690	cas1	22	16501461	16519607
100499617	ENSELUG00000014127	cas2	13	33335447	33339727
100499618	ENSELUG00000015641	cas2	6	66098317	66122139
100500700	ENSELUG00000006691	cas2	3	19914520	19931740
100500701	ENSELUG00000006691	cas2	2	28377818	28401529
100500705	ENSELUG00000007322	cas1	16	41649197	41657737
100500735	ENSELUG00000006688	cas6	13	55321599	55324310
100500939	ENSELUG00000005916	cas2	15	55729734	55747813
100505418	ENSELUG00000009701	cas1	28	23204907	23211267
100529152	ENSELUG00000006299	cas2	6	75752937	75765291
100653442	ENSELUG00000006975	cas5	3	2258551	2284314
100653449	ENSELUG00000002013	cas3	15	61426711	61465987
100653460	ENSELUG00000002317	cas5	18	9893385	9900718
100653463	ENSELUG00000007448	cas1	Y	14015042	14028322
100653468	ENSELUG00000006423	cas1	30	26823264	26841733
100653470	ENSELUG00000017614	cas1	28	17565752	17622150
100653486	ENSELUG00000010339	cas1	28	3797542	3814890
100653488	ENSELUG00000018235	cas1	Y	30786744	30804819
100750226	ENSELUG00000012222	cas2	26	28708886	28712455
100750227	ENSELUG00000017709	cas2	6	63338529	63527846
100750259	ENSELUG00000008732	cas4	21	62326624	62354302
100884157	ENSELUG00000001415	cas1	7	55620553	55699308
100884158	ENSELUG00000001415	cas1	17	66465455	66527607
101268900	ENSELUG00000011315	cas1	16	38581102	38599400
101268905	ENSELUG00000023096	cas1	3	50325109	50332906
101268914	ENSELUG00000014681	cas1	22	18533596	18569048
101268920	ENSELUG00000020159	cas1	11	39152890	39161338
101268921	ENSELUG00000008181	cas1	2	29743074	29752178
101268925	ENSELUG00000007875	cas1	12	28781830	28804078
101268928	ENSELUG00000021608	cas1	17	57051596	57060451
101268929	ENSELUG00000011037	cas2	21	479755	566322
101268937	ENSELUG00000009435	cas1	17	68601930	68625052
101268938	ENSELUG00000009435	cas1	7	53380501	53400793
101268939	ENSELUG00000004096	cas1	16	44560201	44596213
101268940	ENSELUG00000011931	cas1	1	49666532	49702958
101268941	ENSELUG00000004693	cas1	9	62085008	62093546
101268944	ENSELUG00000006940	cas1	32	38117150	38147926
101268947	ENSELUG00000020323	cas1	8	19932433	19937792
101268950	ENSELUG00000005484	cas1	16	43192633	43208975
101268951	ENSELUG00000005484	cas1	9	62810887	62817117
101268963	ENSELUG00000019091	cas4	18	58823202	58823929
101268964	ENSELUG00000005031	cas1	23	30043527	30144813
101268967	ENSELUG00000011156	cas2	3	7207921	7220080
101268971	ENSELUG00000019998	cas1	11	10268892	10285310
